Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
226.52,7.081e-47,,,7.081e-47
226.57,7.851e-46,,,7.851e-46
226.62,8.640e-45,,,8.640e-45
226.67,8.635e-44,,,8.635e-44
226.72,7.837e-43,,,7.837e-43
226.77,6.460e-42,,,6.460e-42
226.82,4.836e-41,,,4.836e-41
226.87,3.288e-40,,,3.288e-40
226.92,2.030e-39,,,2.030e-39
226.97,1.138e-38,,,1.138e-38
227.02,5.797e-38,,,5.797e-38
227.07,2.681e-37,,,2.681e-37
227.12,1.126e-36,,,1.126e-36
227.17,4.295e-36,,,4.295e-36
227.22,1.488e-35,,,1.488e-35
227.27,4.682e-35,,,4.682e-35
227.32,1.338e-34,,,1.338e-34
227.37,3.471e-34,,,3.471e-34
227.42,8.180e-34,,,8.180e-34
227.47,1.751e-33,,,1.751e-33
227.52,3.403e-33,,,3.403e-33
227.57,6.007e-33,,,6.007e-33
227.62,9.630e-33,,,9.630e-33
227.67,1.402e-32,,,1.402e-32
227.72,1.854e-32,,,1.854e-32
227.77,2.226e-32,,,2.226e-32
227.82,2.428e-32,,,2.428e-32
227.87,2.405e-32,,,2.405e-32
227.92,2.164e-32,,,2.164e-32
227.97,1.769e-32,,,1.769e-32
228.02,1.316e-32,,,1.316e-32
228.07,8.948e-33,,,8.948e-33
228.12,5.679e-33,,,5.679e-33
228.17,3.612e-33,,,3.612e-33
228.22,2.755e-33,,,2.755e-33
228.27,2.997e-33,,,2.997e-33
228.32,4.182e-33,,,4.182e-33
228.37,6.095e-33,,,6.095e-33
228.42,8.403e-33,,,8.403e-33
228.47,1.064e-32,,,1.064e-32
228.52,1.227e-32,,,1.227e-32
228.57,1.287e-32,,,1.287e-32
228.62,1.227e-32,,,1.227e-32
228.67,1.062e-32,,,1.062e-32
228.72,8.364e-33,,,8.364e-33
228.77,5.983e-33,,,5.983e-33
228.82,3.889e-33,,,3.889e-33
228.87,2.298e-33,,,2.298e-33
228.92,1.233e-33,,,1.233e-33
228.97,6.017e-34,,,6.017e-34
229.02,2.667e-34,,,2.667e-34
229.07,1.074e-34,,,1.074e-34
229.12,3.933e-35,,,3.933e-35
229.17,1.308e-35,,,1.308e-35
229.22,3.955e-36,,,3.955e-36
229.27,1.087e-36,,,1.087e-36
229.32,2.712e-37,,,2.712e-37
229.37,6.153e-38,,,6.153e-38
229.42,1.268e-38,,,1.268e-38
229.47,2.376e-39,,,2.376e-39
229.52,4.045e-40,,,4.045e-40
229.57,6.257e-41,,,6.257e-41
229.62,8.796e-42,,,8.796e-42
229.67,1.124e-42,,,1.124e-42
229.72,1.319e-43,,,1.319e-43
229.77,2.892e-44,,,2.892e-44
229.82,1.463e-43,,,1.463e-43
229.87,1.263e-42,,,1.263e-42
229.92,1.002e-41,,,1.002e-41
229.97,7.235e-41,,,7.235e-41
230.02,4.758e-40,,,4.758e-40
230.07,2.849e-39,,,2.849e-39
230.12,1.553e-38,,,1.553e-38
230.17,7.711e-38,,,7.711e-38
230.22,3.486e-37,,,3.486e-37
230.27,1.435e-36,,,1.435e-36
230.32,5.378e-36,,,5.378e-36
230.37,1.835e-35,,,1.835e-35
230.42,5.703e-35,,,5.703e-35
230.47,1.614e-34,,,1.614e-34
230.52,4.157e-34,,,4.157e-34
230.57,9.753e-34,,,9.753e-34
230.62,2.083e-33,,,2.083e-33
230.67,4.052e-33,,,4.052e-33
230.72,7.177e-33,,,7.177e-33
230.77,1.157e-32,,,1.157e-32
230.82,1.699e-32,,,1.699e-32
230.87,2.272e-32,,,2.272e-32
230.92,2.766e-32,,,2.766e-32
230.97,3.067e-32,,,3.067e-32
231.02,3.096e-32,,,3.096e-32
231.07,2.845e-32,,,2.845e-32
231.12,2.381e-32,,,2.381e-32
231.17,1.815e-32,,,1.815e-32
231.22,1.259e-32,,,1.259e-32
231.27,7.956e-33,,,7.956e-33
231.32,4.577e-33,,,4.577e-33
231.37,2.398e-33,,,2.398e-33
231.42,1.144e-33,,,1.144e-33
231.47,4.967e-34,,,4.967e-34
231.52,1.965e-34,,,1.965e-34
231.58,5.703e-35,,,5.703e-35
231.63,1.835e-35,,,1.835e-35
231.68,5.378e-36,,,5.378e-36
231.73,1.435e-36,,,1.435e-36
231.78,3.486e-37,,,3.486e-37
