Wavelength (nm),Sum,Pb I (1.4e-01),Pb II (8.6e-01)
243.73,3.299e+2,3.299e+2,
243.78,1.400e+3,1.400e+3,
243.83,5.466e+3,5.466e+3,
243.88,1.963e+4,1.963e+4,
243.93,6.484e+4,6.484e+4,
243.98,1.970e+5,1.970e+5,
244.03,5.506e+5,5.506e+5,
244.08,1.415e+6,1.415e+6,
244.13,3.347e+6,3.347e+6,
244.18,7.281e+6,7.281e+6,
244.23,1.457e+7,1.457e+7,
244.28,2.681e+7,2.681e+7,
244.33,4.538e+7,4.538e+7,
244.38,7.067e+7,7.067e+7,
244.43,1.012e+8,1.012e+8,
244.48,1.334e+8,1.334e+8,
244.53,1.616e+8,1.616e+8,
244.58,1.802e+8,1.802e+8,
244.63,1.847e+8,1.847e+8,
244.68,1.742e+8,1.742e+8,
244.73,1.512e+8,1.512e+8,
244.78,1.206e+8,1.206e+8,
244.83,8.855e+7,8.855e+7,
244.88,5.979e+7,5.979e+7,
244.93,3.714e+7,3.714e+7,
244.98,2.122e+7,2.122e+7,
245.03,1.115e+7,1.115e+7,
245.08,5.389e+6,5.389e+6,
245.13,2.396e+6,2.396e+6,
245.18,9.800e+5,9.800e+5,
245.23,3.687e+5,3.687e+5,
245.28,1.276e+5,1.276e+5,
245.33,4.061e+4,4.061e+4,
245.38,1.189e+4,1.189e+4,
245.43,3.202e+3,3.202e+3,
245.48,7.932e+2,7.932e+2,
245.53,1.807e+2,1.807e+2,
245.58,3.788e+1,3.788e+1,
245.63,7.304e+0,7.304e+0,
245.68,1.295e+0,1.295e+0,
245.73,2.113e-1,2.113e-1,
245.78,3.171e-2,3.171e-2,
245.83,4.376e-3,4.376e-3,
245.88,5.556e-4,5.556e-4,
245.93,6.488e-5,6.488e-5,
245.98,6.969e-6,6.969e-6,
246.03,6.886e-7,6.886e-7,
246.08,6.259e-8,6.259e-8,
246.13,3.219e-8,3.219e-8,
246.18,3.625e-7,3.625e-7,
246.23,3.763e-6,3.763e-6,
246.28,3.601e-5,3.601e-5,
246.33,3.176e-4,3.176e-4,
246.38,2.582e-3,2.582e-3,
246.43,1.934e-2,1.934e-2,
246.48,1.336e-1,1.336e-1,
246.53,8.502e-1,8.502e-1,
246.58,4.988e+0,4.988e+0,
246.63,2.697e+1,2.697e+1,
246.68,1.344e+2,1.344e+2,
246.73,6.175e+2,6.175e+2,
246.78,2.614e+3,2.614e+3,
246.83,1.020e+4,1.020e+4,
246.88,3.670e+4,3.670e+4,
246.93,1.217e+5,1.217e+5,
246.98,3.718e+5,3.718e+5,
247.03,1.047e+6,1.047e+6,
247.08,2.718e+6,2.718e+6,
247.13,6.503e+6,6.503e+6,
247.18,1.434e+7,1.434e+7,
247.23,2.915e+7,2.915e+7,
247.28,5.462e+7,5.462e+7,
247.33,9.431e+7,9.431e+7,
247.38,1.501e+8,1.501e+8,
247.43,2.202e+8,2.202e+8,
247.48,2.977e+8,2.977e+8,
247.53,3.711e+8,3.711e+8,
247.58,4.262e+8,4.262e+8,
247.63,4.513e+8,4.513e+8,
247.68,4.404e+8,4.404e+8,
247.73,3.961e+8,3.961e+8,
247.78,3.283e+8,3.283e+8,
247.83,2.509e+8,2.509e+8,
247.88,1.767e+8,1.767e+8,
247.93,1.147e+8,1.147e+8,
247.98,6.862e+7,6.862e+7,
248.03,3.784e+7,3.784e+7,
248.08,1.923e+7,1.923e+7,
248.13,9.011e+6,9.011e+6,
248.18,3.891e+6,3.891e+6,
248.23,1.549e+6,1.549e+6,
248.28,5.680e+5,5.680e+5,
248.33,1.921e+5,1.921e+5,
248.38,5.985e+4,5.985e+4,
248.43,1.719e+4,1.719e+4,
248.48,4.551e+3,4.551e+3,
248.53,1.111e+3,1.111e+3,
248.58,2.498e+2,2.498e+2,
248.63,5.178e+1,5.178e+1,
248.68,9.893e+0,9.893e+0,
248.73,1.742e+0,1.742e+0,
248.78,2.828e-1,2.828e-1,
248.83,4.231e-2,4.231e-2,
248.88,5.834e-3,5.834e-3,
248.93,7.415e-4,7.415e-4,
248.98,8.687e-5,8.687e-5,
249.03,9.379e-6,9.379e-6,
249.08,9.334e-7,9.334e-7,
249.13,8.562e-8,8.562e-8,
256.18,8.026e-8,8.026e-8,
256.23,7.972e-7,7.972e-7,
256.28,7.345e-6,7.345e-6,
256.33,6.276e-5,6.276e-5,
256.38,4.974e-4,4.974e-4,
256.43,3.657e-3,3.657e-3,
256.48,2.493e-2,2.493e-2,
256.53,1.576e-1,1.576e-1,
256.58,9.245e-1,9.245e-1,
256.63,5.029e+0,5.029e+0,
256.68,2.537e+1,2.537e+1,
256.73,1.187e+2,1.187e+2,
256.78,5.152e+2,5.152e+2,
256.83,2.074e+3,2.074e+3,
256.88,7.743e+3,7.743e+3,
256.93,2.681e+4,2.681e+4,
256.98,8.611e+4,8.611e+4,
257.03,2.565e+5,2.565e+5,
257.08,7.086e+5,7.086e+5,
257.13,1.816e+6,1.816e+6,
257.18,4.315e+6,4.315e+6,
257.23,9.512e+6,9.512e+6,
257.28,1.945e+7,1.945e+7,
257.33,3.688e+7,3.688e+7,
257.38,6.485e+7,6.485e+7,
257.43,1.058e+8,1.058e+8,
257.48,1.600e+8,1.600e+8,
257.53,2.246e+8,2.246e+8,
257.58,2.923e+8,2.923e+8,
257.63,3.528e+8,3.528e+8,
257.68,3.949e+8,3.949e+8,
