Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
224.12,4.631e+4,3.112e+2,4.600e+4
224.17,5.864e+4,5.480e+2,5.809e+4
224.22,6.771e+4,8.737e+2,6.683e+4
224.27,7.192e+4,1.262e+3,7.066e+4
224.32,7.157e+4,1.649e+3,6.992e+4
224.37,6.912e+4,1.952e+3,6.716e+4
224.42,6.829e+4,2.093e+3,6.620e+4
224.47,7.247e+4,2.032e+3,7.044e+4
224.52,8.287e+4,1.786e+3,8.109e+4
224.57,9.767e+4,1.421e+3,9.625e+4
224.62,1.123e+5,1.024e+3,1.113e+5
224.67,1.214e+5,6.683e+2,1.208e+5
224.72,1.210e+5,3.949e+2,1.206e+5
224.77,1.100e+5,2.113e+2,1.098e+5
224.82,9.087e+4,1.024e+2,9.077e+4
224.87,6.811e+4,4.491e+1,6.807e+4
224.92,4.628e+4,1.784e+1,4.626e+4
224.97,2.849e+4,6.416e+0,2.848e+4
225.02,1.589e+4,2.090e+0,1.589e+4
225.07,8.033e+3,6.164e-1,8.032e+3
225.12,3.680e+3,1.646e-1,3.680e+3
225.17,1.530e+3,3.980e-2,1.530e+3
225.22,5.802e+2,8.716e-3,5.802e+2
225.27,2.051e+2,1.728e-3,2.051e+2
225.32,7.393e+1,3.103e-4,7.393e+1
225.37,3.487e+1,5.044e-5,3.487e+1
225.42,2.618e+1,7.425e-6,2.618e+1
225.47,2.530e+1,9.897e-7,2.530e+1
225.52,2.473e+1,1.195e-7,2.473e+1
225.57,2.248e+1,1.305e-8,2.248e+1
225.62,1.862e+1,1.292e-9,1.862e+1
225.67,1.401e+1,1.158e-10,1.401e+1
225.72,9.576e+0,9.394e-12,9.576e+0
225.77,6.016e+0,6.902e-13,6.016e+0
225.82,3.664e+0,,3.664e+0
225.87,2.650e+0,,2.650e+0
225.92,3.139e+0,,3.139e+0
225.97,5.553e+0,,5.553e+0
226.02,1.065e+1,,1.065e+1
226.07,1.933e+1,,1.933e+1
226.12,3.223e+1,,3.223e+1
226.17,4.909e+1,,4.909e+1
226.22,6.826e+1,,6.826e+1
226.27,8.672e+1,,8.672e+1
226.32,1.008e+2,,1.008e+2
226.37,1.074e+2,,1.074e+2
226.42,1.051e+2,,1.051e+2
226.47,9.470e+1,,9.470e+1
226.52,7.885e+1,,7.885e+1
226.57,6.084e+1,,6.084e+1
226.62,4.364e+1,,4.364e+1
226.67,2.916e+1,,2.916e+1
226.72,1.817e+1,,1.817e+1
226.77,1.057e+1,,1.057e+1
226.82,5.751e+0,,5.751e+0
226.87,3.032e+0,,3.032e+0
226.92,1.991e+0,,1.991e+0
226.97,3.026e+0,,3.026e+0
227.02,8.576e+0,,8.576e+0
227.07,2.591e+1,,2.591e+1
227.12,7.255e+1,,7.255e+1
227.17,1.849e+2,,1.849e+2
227.22,4.281e+2,,4.281e+2
227.27,9.001e+2,,9.001e+2
227.32,1.718e+3,,1.718e+3
227.37,2.978e+3,,2.978e+3
227.42,4.688e+3,,4.688e+3
227.47,6.700e+3,,6.700e+3
227.52,8.695e+3,,8.695e+3
227.57,1.025e+4,,1.025e+4
