Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (7.5e-2),Fe II (4.1e-1),Fe III (5.6e-5),Ni I (6.1e-2),Ni II (1.9e-1),Ni III (6.3e-6),Cu I (4.4e-3),Cu II (1.1e-2),Mo I (4.3e-3)
204.65,3.366e+2,,,,3.683e-6,6.794e-5,3.353e+2,,,3.088e-20,1.277e+0,
204.68,4.869e+2,,,,4.406e-5,3.748e-5,4.865e+2,,,3.092e-20,4.129e-1,
204.7,5.671e+2,,,,2.095e-4,2.477e-5,5.667e+2,,,3.094e-20,3.197e-1,
204.73,6.179e+2,,,,1.884e-3,1.442e-5,6.176e+2,,,3.097e-20,3.526e-1,
204.75,5.948e+2,,,,7.410e-3,1.227e-5,5.944e+2,,,3.100e-20,3.865e-1,
204.78,4.869e+2,,,,5.010e-2,1.596e-5,4.865e+2,,,3.103e-20,3.954e-1,
204.8,3.874e+2,,,,1.629e-1,2.371e-5,3.869e+2,,,3.105e-20,3.661e-1,
204.83,2.389e+2,,5.901e-18,,8.281e-1,4.448e-5,2.378e+2,,,3.109e-20,2.829e-1,
204.85,1.587e+2,,9.015e-17,,2.226e+0,6.405e-5,1.563e+2,,,3.111e-20,2.166e-1,
204.88,8.080e+1,,4.670e-15,,8.508e+0,9.754e-5,7.216e+1,,,3.115e-20,1.258e-1,
204.9,5.823e+1,,5.904e-14,,1.891e+1,1.178e-4,3.924e+1,,,3.117e-20,7.955e-2,
204.93,6.831e+1,,2.302e-12,,5.433e+1,1.358e-4,1.395e+1,,,3.120e-20,3.469e-2,
204.95,1.070e+2,,2.408e-11,,9.985e+1,1.358e-4,7.110e+0,,,3.123e-20,1.813e-2,
204.98,2.214e+2,,7.070e-10,,2.157e+2,1.177e-4,5.698e+0,,,3.126e-20,5.939e-3,
205,3.378e+2,,6.120e-9,,3.277e+2,9.727e-5,1.007e+1,,,3.128e-20,2.565e-3,
205.02,4.820e+2,,4.912e-8,,4.615e+2,7.450e-5,2.048e+1,,,3.131e-20,1.027e-3,
205.05,7.238e+2,,9.689e-7,,6.687e+2,4.329e-5,5.502e+1,,,3.134e-20,2.314e-4,
205.07,8.758e+2,,6.434e-6,,7.786e+2,2.741e-5,9.723e+1,,,3.136e-20,1.050e-4,
205.1,1.046e+3,,9.554e-5,,8.482e+2,1.197e-5,1.982e+2,,,3.140e-20,3.117e-4,
205.12,1.106e+3,,5.251e-4,,8.165e+2,6.263e-6,2.899e+2,,,3.142e-20,1.267e-3,
205.15,1.113e+3,,5.869e-3,,6.687e+2,2.057e-6,4.444e+2,,,3.145e-20,9.631e-3,
205.17,1.070e+3,,2.669e-2,,5.323e+2,8.938e-7,5.374e+2,,,3.148e-20,3.417e-2,
205.2,9.479e+2,,2.246e-1,,3.278e+2,2.413e-7,6.197e+2,,,3.151e-20,1.997e-1,
205.22,8.369e+2,,8.452e-1,,2.157e+2,1.334e-7,6.197e+2,,,3.153e-20,5.921e-1,
205.25,6.456e+2,,5.353e+0,,1.001e+2,2.030e-7,5.375e+2,,,3.157e-20,2.634e+0,
205.27,5.229e+2,,1.667e+1,,5.500e+1,3.955e-7,4.448e+2,,,3.159e-20,6.494e+0,
205.3,4.142e+2,,7.949e+1,,2.161e+1,1.033e-6,2.913e+2,,,3.163e-20,2.188e+1,
